symbol,accuracy,accuracy_std,win_rate,win_rate_std,precision_bullish,precision_bullish_std,recall_bullish,recall_bullish_std,profit_factor,profit_factor_std,sample_count,sample_count_std,n_windows
DMART,49.78354978354979,2.2724409448807554,0.0,0.0,49.43849281992629,7.238358743623269,45.825105384660326,10.922129978140754,inf,,99.0,0.0,7
BEL,49.7536945812808,2.2752719968064072,40.695633091946455,38.06267120269761,45.124368048533874,33.075160917669045,34.83044555689518,34.97438480583857,0.9124663302658594,0.9093423630966699,87.0,0.0,7
HAL,49.75369458128079,5.754159431177414,33.482142857142854,43.645100187858006,51.58995419926071,8.295733915160318,50.86843906252313,22.402191659337447,3.2232206154761704,5.464668550247323,87.0,0.0,7
HDFCLIFE,49.75369458128079,5.97935680001088,27.142857142857142,35.74284572341944,48.671557511893646,10.514241850746552,34.816721556437955,20.89597583363496,inf,,87.0,0.0,7
HDFCBANK,49.75369458128079,6.722328239887921,7.142857142857143,17.49635530559413,54.53874437154172,25.087304172448352,41.33299092151839,30.889634983262233,inf,,87.0,0.0,7
AXISBANK,49.75369458128078,4.626930313170893,51.42857142857143,39.64860226801924,53.36998542739208,7.995322165277775,38.948330801989336,16.412619212029128,1.7028127352079296,1.1191921418226591,87.0,0.0,7
COLPAL,49.589490968801314,7.280722258586326,45.952380952380956,38.357726636803754,49.50845904568602,10.225474150850182,54.85643801326378,22.693905346830235,1.7059956409976054,2.014844668248243,87.0,0.0,7
TATACONSUM,49.589490968801314,3.0981875638937955,40.909090909090914,32.309746465222986,56.582515897421715,18.522055775448845,44.55738705738706,20.167236453642655,1.280732699445157,0.7656824196262244,87.0,0.0,7
EICHERMOT,49.425287356321846,4.597701149425287,16.480071652485446,26.251051379953758,43.39333032465458,18.078649333964854,34.0864129421082,40.005245230068205,inf,,87.0,0.0,7
TVSMOTOR,49.425287356321846,5.796178192027189,81.1734693877551,16.49356518852342,51.431170382783286,4.84777212131201,62.0965585484219,23.843069722063905,3.208487574856886,4.346072184818041,87.0,0.0,7
PERSISTENT,49.42528735632184,5.563571213825095,29.98350855493712,20.772915894200697,47.81806428865252,6.824464954240104,52.68652913859948,31.305860759157557,2.3698161641650115,2.182116813382125,87.0,0.0,7
