date,close,high,low,open,volume
2022-11-11,42136.5625,42345.009303254774,41917.615818418504,42162.90985093517,255400
2022-11-14,42076.26171875,42230.959142287014,41964.96222909416,42177.06133025349,142700
2022-11-15,42372.20703125,42449.5576952594,42079.06199886696,42234.360976193566,139400
2022-11-16,42534.8046875,42611.2530146146,42295.80747498249,42371.30659441794,185400
2022-11-17,42457.55859375,42622.255903253215,42366.05965444769,42399.156927018914,165400
2022-11-18,42436.95703125,42590.25603452489,42223.20951031225,42545.25655643274,280100
2022-11-21,42346.05859375,42386.30812593039,42202.060267440036,42286.457723989864,259100
2022-11-22,42456.55859375,42508.25721317177,42346.65752405363,42466.90613004378,216300
2022-11-23,42728.60546875,42860.05316134725,42555.904348869175,42668.05539050716,359100
2022-11-24,43074.8984375,43162.89741603527,42769.15198650954,42837.854314034324,204900
2022-11-25,42983.44921875,43338.64430573424,42864.45060298763,43191.94679342608,502800
2022-11-28,43019.94921875,43159.299161653216,42739.503259487334,42756.70227834148,238700
2022-11-29,43052.94921875,43279.09893608623,42958.899529756054,42958.899529756054,223000
2022-11-30,43230.49609375,43331.795694224704,42879.55096571048,43122.247355526306,202000
2022-12-01,43260.14453125,43514.543911684945,43101.34950593882,43511.59472728786,268400
2022-12-02,43103.25,43131.39811098041,42937.30270624746,42976.20069252874,212800
2022-12-05,43332.4453125,43371.6440754137,42984.50013995016,43268.84839580863,242600
2022-12-06,43138.05078125,43306.349611799546,43075.89915788053,43093.39895504571,379200
2022-12-07,43098.19921875,43326.84890984055,42947.95096184205,43156.85088205784,242900
2022-12-08,43596.34375,43640.390111945664,43094.79881077177,43141.74748266118,355700
2022-12-09,43632.94140625,43852.88806519864,43361.19456891647,43764.79143424212,443500
2022-12-12,43708.2421875,43766.542291405865,43378.29680213205,43455.346688198595,234200
2022-12-13,43946.0390625,43983.288628756665,43767.240363227094,43793.189279821374,277000
2022-12-14,44048.58984375,44151.287869442385,43987.43821040724,44078.08950104827,349200
2022-12-15,43497.6953125,44120.090446010574,43378.599035940526,43939.59253701847,421900
2022-12-16,43218.99609375,43597.690897157314,43080.04849504141,43261.24560114738,275200
2022-12-19,43413.24609375,43450.94487492269,43109.80039715503,43345.84843854809,175600
2022-12-20,43358.99609375,43425.694537349154,42954.89922755192,43152.14693519366,182300
2022-12-21,42617.453125,43614.140741684154,42363.30764591198,43525.2433390054,279400
2022-12-22,42408.30859375,42933.00172295274,42230.8614344378,42863.50252955492,344800
2022-12-23,41667.56640625,42226.15756901795,41597.16488090006,41950.86389423782,332600
2022-12-27,42859.0,42926.69842896922,42393.65386630298,42827.250370396294,229600
2022-12-28,42827.203125,43034.450724324,42694.35700758802,42733.106558728214,230500
2022-12-29,43251.84765625,43497.5440125112,42489.305759004936,42684.40114229347,308300
2022-12-30,42985.94921875,43422.44414156861,42832.60334617438,43401.194388739525,258700
2023-01-02,43203.1015625,43382.75,42961.75,43038.25,1798102100
2023-01-03,43425.25,43482.80078125,43148.44921875,43151.44921875,197000
2023-01-04,42958.80078125,43578.3984375,42858.6484375,43417.5,216800
2023-01-05,42608.69921875,43137.55078125,42298.6015625,43073.05078125,189100
2023-01-06,42188.80078125,42685.8984375,41877.0,42649.69921875,195100
2023-01-09,42582.75,42716.80078125,42186.55078125,42404.8515625,161800
2023-01-10,42014.75,42674.25,41835.75,42642.0,179300
2023-01-11,42232.69921875,42318.0,41729.0,42071.8515625,169800
2023-01-12,42082.25,42343.5,41742.94921875,42238.5,154100
2023-01-13,42371.25,42453.94921875,41885.6015625,42171.25,205500
2023-01-16,42167.55078125,42715.6484375,42066.55078125,42622.5,312300
2023-01-17,42235.05078125,42383.80078125,41861.1015625,42241.19921875,256300
2023-01-18,42458.0,42555.8984375,42119.6484375,42271.80078125,170500
2023-01-19,42328.8515625,42506.25,42234.8984375,42416.30078125,143400
2023-01-20,42506.80078125,42709.19921875,42366.1484375,42516.05078125,159100
2023-01-23,42821.25,43005.8515625,42727.69921875,42891.44921875,203600
2023-01-24,42733.44921875,43078.8984375,42615.6484375,42994.44921875,159500
2023-01-25,41647.6484375,42733.05078125,41540.30078125,42703.6015625,244700
2023-01-27,40345.30078125,41417.8984375,40148.80078125,41382.3515625,350800
2023-01-30,40387.44921875,40789.55078125,39419.80078125,39856.1484375,369900
2023-01-31,40655.05078125,40811.6484375,40167.69921875,40563.8515625,289900
2023-02-01,40513.0,42015.6484375,39490.5,41115.0,400100
2023-02-02,40669.30078125,40757.6015625,39761.44921875,39943.3515625,348500
2023-02-03,41499.69921875,41539.94921875,40609.75,41019.3515625,308800
2023-02-06,41374.6484375,41724.5,41261.19921875,41530.1484375,197800
2023-02-07,41490.94921875,41630.75,41095.1015625,41513.1015625,171900
2023-02-08,41537.6484375,41791.94921875,41403.05078125,41542.05078125,136500
2023-02-09,41554.30078125,41634.0,41252.94921875,41634.0,142900
2023-02-10,41559.3984375,41678.8984375,41424.8984375,41452.3984375,155000
2023-02-13,41282.19921875,41662.55078125,41157.8984375,41563.5,147000
