iter	Passed	Remaining
938	12097	785
939	12107	772
940	12118	759
941	12128	746
942	12141	733
943	12152	720
944	12163	707
945	12174	694
946	12185	681
947	12197	669
948	12209	656
949	12219	643
950	12229	630
951	12240	617
952	12250	604
953	12260	591
954	12270	578
955	12282	565
956	12293	552
957	12305	539
958	12317	526
959	12328	513
960	12339	500
961	12350	487
962	12362	474
963	12374	462
964	12386	449
965	12397	436
966	12408	423
967	12419	410
968	12431	397
969	12444	384
970	12455	371
971	12465	359
972	12477	346
973	12488	333
974	12499	320
975	12509	307
976	12520	294
977	12534	281
978	12545	269
979	12557	256
980	12568	243
981	12583	230
982	12593	217
983	12605	204
984	12615	192
985	12630	179
986	12641	166
987	12654	153
988	12667	140
989	12678	128
990	12692	115
991	12702	102
992	12716	89
993	12729	76
994	12743	64
995	12755	51
996	12767	38
997	12781	25
998	12791	12
999	12801	0
