symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
HDFCBANK,2025-06-13,2025-06-24,11,0.02258031611784239,0.020080316117842393,0.2
SUNPHARMA,2025-05-28,2025-06-27,30,0.013520721132241675,0.011020721132241675,0.2
ASIANPAINT,2025-06-23,2025-06-27,4,0.041782518619380316,0.03928251861938031,0.2
ICICIBANK,2025-06-19,2025-06-30,11,0.008261262664755575,0.005761262664755575,0.2
HDFCBANK,2025-06-24,2025-07-01,7,0.05646001409402368,0.05396001409402368,0.2
WIPRO,2025-06-23,2025-07-04,11,0.03151685905523305,0.02901685905523305,0.2
HCLTECH,2025-06-30,2025-07-08,8,-0.011859312633597296,-0.014359312633597297,0.2
SUNPHARMA,2025-06-27,2025-07-09,12,-0.002468108391576629,-0.004968108391576629,0.2
TCS,2025-07-02,2025-07-10,8,-0.012064435999975864,-0.014564435999975865,0.2
ITC,2025-07-01,2025-07-14,13,0.01047941710076361,0.00797941710076361,0.2
ICICIBANK,2025-07-04,2025-07-14,10,-0.013723347176895273,-0.016223347176895272,0.2
HCLTECH,2025-07-09,2025-07-14,5,-0.0323775824398177,-0.0348775824398177,0.2
TECHM,2025-07-08,2025-07-15,7,-0.03448702918064572,-0.036987029180645725,0.2
INFY,2025-07-10,2025-07-15,5,-0.018690498434767888,-0.021190498434767887,0.2
HCLTECH,2025-07-14,2025-07-18,4,-0.03634251449814663,-0.03884251449814663,0.2
TCS,2025-07-14,2025-07-18,4,-0.006818648452737386,-0.009318648452737386,0.2
INFY,2025-07-15,2025-07-23,8,-0.007000493927211804,-0.009500493927211804,0.2
HCLTECH,2025-07-18,2025-07-23,5,-0.01226751544242155,-0.014767515442421551,0.2
SUNPHARMA,2025-07-15,2025-07-24,9,-0.01412561278264568,-0.01662561278264568,0.2
TECHM,2025-07-16,2025-07-24,8,-0.06797689067410462,-0.07047689067410462,0.2
TCS,2025-07-18,2025-07-25,7,-0.016959741068833578,-0.019459741068833577,0.2
LT,2025-07-24,2025-07-29,5,0.0052049166516896506,0.0027049166516896505,0.2
INFY,2025-07-23,2025-07-31,8,-0.04160046940200335,-0.04410046940200335,0.2
HCLTECH,2025-07-24,2025-08-01,8,-0.020368902878499573,-0.02286890287849957,0.2
TATASTEEL,2025-07-24,2025-08-01,8,-0.04394662296217078,-0.04644662296217078,0.2
MARUTI,2025-07-29,2025-08-04,6,0.0023924240433073063,-0.00010757595669269376,0.2
INFY,2025-07-31,2025-08-05,5,-0.03227302601373161,-0.03477302601373161,0.2
TCS,2025-07-25,2025-08-06,12,-0.006465310246780431,-0.008965310246780432,0.2
SUNPHARMA,2025-08-01,2025-08-08,7,-0.005732620377492559,-0.00823262037749256,0.2
WIPRO,2025-08-06,2025-08-13,7,0.007042816709204924,0.004542816709204924,0.2
SUNPHARMA,2025-08-08,2025-08-14,6,0.03434372213965653,0.03184372213965653,0.2
BHARTIARTL,2025-08-01,2025-08-19,18,0.048643633592726054,0.04614363359272605,0.2
INFY,2025-08-07,2025-08-19,12,0.0021574834391386855,-0.0003425165608613146,0.2
WIPRO,2025-08-13,2025-08-21,8,0.034181709549247374,0.03168170954924737,0.2
TCS,2025-08-06,2025-08-25,19,0.02318382038270106,0.02068382038270106,0.2
SUNPHARMA,2025-08-14,2025-08-25,11,0.009321259489827538,0.0068212594898275376,0.2
INFY,2025-08-19,2025-08-26,7,0.062222143038928035,0.05972214303892803,0.2
ITC,2025-08-21,2025-09-04,14,0.010356344735264145,0.007856344735264144,0.2
BHARTIARTL,2025-08-25,2025-09-05,11,0.0005625525014998356,-0.0019374474985001645,0.2
TECHM,2025-08-26,2025-09-05,10,-0.01283211680875973,-0.01533211680875973,0.2
AXISBANK,2025-09-01,2025-09-09,8,0.17104975555297774,0.16854975555297774,0.2
SUNPHARMA,2025-08-25,2025-09-10,16,-0.019514926705647806,-0.022014926705647805,0.2
INFY,2025-09-05,2025-09-11,6,0.19754912770501987,0.19504912770501986,0.2
HCLTECH,2025-09-04,2025-09-15,11,0.15354983882299233,0.15104983882299233,0.2
TECHM,2025-09-05,2025-09-15,10,0.02835102935732814,0.02585102935732814,0.2
TCS,2025-09-09,2025-09-15,6,0.020495833985175738,0.01799583398517574,0.2
SUNPHARMA,2025-09-10,2025-09-15,5,0.0053972236637056525,0.0028972236637056525,0.2
WIPRO,2025-09-11,2025-09-18,7,0.011893944363038367,0.009393944363038366,0.2
