symbol,fold_combo,n_train,n_test,n_trades,total_ret,win_rate,sharpe
CUMMINSIND,2+4,752,384,38,1.949481073857772,0.5526315789473685,1.199
CUMMINSIND,2+5,753,388,30,1.1941859312889633,0.7,2.623
CUMMINSIND,3+4,762,384,38,0.7629603173371549,0.5263157894736842,1.246
CUMMINSIND,3+5,753,388,36,1.4053020308574067,0.6111111111111112,1.982
CUMMINSIND,4+5,763,388,22,0.5040103681132235,0.7272727272727273,1.476
DIVISLAB,0+1,820,412,26,1.0972081430185763,0.5769230769230769,1.994
DIVISLAB,0+2,810,412,27,1.7326931550341795,0.6296296296296297,1.211
DIVISLAB,0+3,810,412,25,1.1196608289834913,0.56,1.134
DIVISLAB,0+4,810,412,20,2.2262526650695835,0.75,2.051
DIVISLAB,0+5,814,413,22,2.2915239167990777,0.5,1.149
DIVISLAB,1+2,815,412,28,-0.003485576471159657,0.5,0.154
DIVISLAB,1+3,805,412,32,0.3175883777801971,0.625,0.832
DIVISLAB,1+4,805,412,41,1.268168359461972,0.6097560975609756,1.715
DIVISLAB,1+5,809,413,26,1.6127854233037517,0.5769230769230769,1.702
DIVISLAB,2+3,815,412,38,-0.10695701117122103,0.5263157894736842,-0.126
DIVISLAB,2+4,805,412,25,0.34118303869367583,0.52,1.078
DIVISLAB,2+5,809,413,41,0.37050146512667426,0.5121951219512195,0.566
DIVISLAB,3+4,815,412,41,0.4793162619032867,0.5853658536585366,0.973
DIVISLAB,3+5,809,413,32,0.4356889650539426,0.46875,0.71
DIVISLAB,4+5,819,413,41,0.6247963990048198,0.6097560975609756,1.234
DLF,0+1,932,468,25,0.8360689638944339,0.64,1.388
DLF,0+2,922,468,29,-0.2924489419796178,0.4827586206896552,-0.634
DLF,0+3,922,468,24,1.2793862791510926,0.625,2.057
DLF,0+4,922,468,22,3.236176318876952,0.7727272727272727,1.802
DLF,0+5,926,469,37,1.5097450003007173,0.5405405405405406,0.764
DLF,1+2,927,468,32,-0.3368010152021996,0.5625,-0.256
DLF,1+3,917,468,26,-0.12404245108369116,0.5384615384615384,0.038
DLF,1+4,917,468,26,1.048210965960144,0.6153846153846154,1.108
DLF,1+5,921,469,28,-0.32597178980901786,0.39285714285714285,-0.25
DLF,2+3,927,468,33,0.8394593739669116,0.7272727272727273,1.276
DLF,2+4,917,468,25,1.132820355802477,0.6,1.328
DLF,2+5,921,469,46,0.782491925514972,0.43478260869565216,0.608
DLF,3+4,927,468,14,0.42560527803572246,0.5714285714285714,2.174
DLF,3+5,921,469,43,0.6015463290138607,0.5348837209302325,0.723
DMART,1+2,862,436,8,-0.3879900575901257,0.375,-3.372
DMART,2+4,852,436,11,-0.2759857597571781,0.45454545454545453,-1.622
DMART,3+4,862,436,17,-0.12364907651572621,0.35294117647058826,-0.433
DMART,3+5,857,436,34,-0.2292533889644347,0.35294117647058826,-0.35
DRREDDY,0+1,697,350,13,0.6136739878367579,0.46153846153846156,1.978
DRREDDY,0+3,687,350,5,0.3957037248875208,0.8,2.611
DRREDDY,1+2,692,350,27,0.1506483267394938,0.5925925925925926,0.536
DRREDDY,1+3,682,350,21,0.16081553986273822,0.6666666666666666,0.963
DRREDDY,1+4,682,350,25,0.6565110662240661,0.64,1.347
DRREDDY,1+5,685,352,27,0.33475193453957486,0.5555555555555556,0.964
DRREDDY,2+3,692,350,5,-0.09819494799526451,0.6,-1.871
DRREDDY,2+4,682,350,28,-0.13478089824843986,0.5,-0.382
DRREDDY,2+5,685,352,30,0.27522955945081073,0.5,0.664
DRREDDY,3+4,692,350,18,0.1541751946323633,0.5555555555555556,1.35
EICHERMOT,0+1,736,368,11,-0.04277964323256256,0.6363636363636364,0.003
EICHERMOT,0+2,726,368,15,0.42878060798141626,0.6666666666666666,1.68
EICHERMOT,0+3,726,368,25,1.1479971093347765,0.52,1.239
EICHERMOT,0+5,726,373,25,2.3018851103278366,0.52,1.221
EICHERMOT,1+2,731,368,19,0.6479041906170739,0.6842105263157895,1.943
EICHERMOT,1+3,721,368,26,1.1403549405485678,0.6153846153846154,1.68
EICHERMOT,1+5,721,373,17,1.7313089797397123,0.7058823529411765,1.752
EICHERMOT,2+3,731,368,26,0.13315452948612228,0.5384615384615384,0.555
EICHERMOT,3+5,721,373,17,0.5953436775690124,0.6470588235294118,2.339
ETERNAL,0+1,476,238,19,0.39399828708524853,0.5263157894736842,0.891
ETERNAL,0+2,466,238,8,-0.03007217203758572,0.5,0.192
ETERNAL,0+3,466,238,17,0.28036883150170144,0.5294117647058824,0.803
ETERNAL,0+4,466,238,23,4.0493874854295635,0.5217391304347826,1.166
ETERNAL,0+5,466,243,21,2.569672432412738,0.42857142857142855,1.039
ETERNAL,1+3,461,238,9,1.322477858367472,0.5555555555555556,1.841
ETERNAL,1+4,461,238,20,0.020997551782903745,0.55,0.29
ETERNAL,1+5,461,243,11,0.047794183933036694,0.5454545454545454,0.471
ETERNAL,2+4,461,238,18,0.9985836182812049,0.6666666666666666,2.44
ETERNAL,2+5,461,243,19,1.8106783425170843,0.6842105263157895,2.083
ETERNAL,3+4,471,238,17,0.5136695004746938,0.5294117647058824,1.66
ETERNAL,3+5,461,243,22,0.1755014138661286,0.5909090909090909,0.645
ETERNAL,4+5,471,243,20,-0.18237614356197107,0.55,-0.34
EXIDEIND,0+1,754,378,27,0.31520587778375897,0.5555555555555556,0.942
EXIDEIND,0+2,744,378,20,0.1847543125390272,0.6,0.702
EXIDEIND,0+3,744,378,26,0.5447350432953593,0.6538461538461539,1.416
EXIDEIND,0+4,744,378,32,0.6417575748954496,0.46875,0.694
EXIDEIND,0+5,746,381,23,1.3332573074183025,0.5652173913043478,1.084
EXIDEIND,1+2,749,378,24,0.31576621825214457,0.4583333333333333,1.005
EXIDEIND,1+3,739,378,16,0.1455505797229124,0.5,0.762
EXIDEIND,1+4,739,378,24,1.9663145262792612,0.4166666666666667,1.473
EXIDEIND,1+5,741,381,26,1.442554935562065,0.5384615384615384,1.109
EXIDEIND,2+3,749,378,22,1.1078985855229768,0.6818181818181818,2.652
EXIDEIND,2+4,739,378,21,0.42435991093942116,0.5714285714285714,1.161
EXIDEIND,2+5,741,381,24,-0.11104769887957511,0.4583333333333333,-0.209
EXIDEIND,3+4,749,378,18,0.07485098013057123,0.5555555555555556,0.489
FEDERALBNK,0+2,750,380,21,-0.2179379966620547,0.47619047619047616,-0.144
FEDERALBNK,0+3,750,380,35,1.0971692375712307,0.5142857142857142,0.766
FEDERALBNK,0+4,750,380,32,0.9796586576315016,0.46875,0.742
FEDERALBNK,0+5,750,385,32,1.436978122638262,0.5,0.806
