symbol,model,oos_acc,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
RELIANCE,B2_momentum5_BASE_bin_0.4%,0.4563279857397504,561,263,-0.6898930678550196,0.4372623574144487,-3.7662044434548694,0.688498943578866,0.4372623574144487
RELIANCE,B3_AR1_BASE_bin_0.4%,0.48663101604278075,561,286,-0.5564278444337628,0.47202797202797203,-2.5283612329596026,0.6111227335293891,0.47202797202797203
MARUTI,LGBM_BASE_bin_0.4%,0.4908759124087591,548,10,0.0029287471197985138,0.7,0.20875564239404398,0.03850800177817276,0.7
MARUTI,B1_alwaysUP_BASE_bin_0.4%,0.5091240875912408,548,548,-0.6899243641198086,0.5091240875912408,-1.901192266784874,0.7162707279169339,0.5091240875912408
MARUTI,B2_momentum5_BASE_bin_0.4%,0.48722627737226276,548,292,-0.45079679858660693,0.4965753424657534,-1.8963589434547554,0.5743493458125806,0.4965753424657534
MARUTI,B3_AR1_BASE_bin_0.4%,0.5036496350364964,548,279,-0.48001991593115756,0.5125448028673835,-1.924083627873004,0.5366202635516409,0.5125448028673835
LT,LGBM_BASE_bin_0.4%,0.5155709342560554,578,26,0.047303291957382365,0.6538461538461539,2.0342040822584075,0.03458268682502187,0.6538461538461539
LT,B1_alwaysUP_BASE_bin_0.4%,0.5207612456747405,578,578,-0.6966775804032566,0.5207612456747405,-1.5533863871547295,0.7541494048236618,0.5207612456747405
LT,B2_momentum5_BASE_bin_0.4%,0.43944636678200694,578,301,-0.735321528837082,0.46179401993355484,-3.387862511011311,0.7727496819925703,0.46179401993355484
LT,B3_AR1_BASE_bin_0.4%,0.4826989619377163,578,304,-0.4315243460028646,0.5032894736842105,-1.2943719479272413,0.5564357372233664,0.5032894736842105
BHARTIARTL,LGBM_BASE_bin_0.4%,0.5276292335115864,561,16,-0.021718888511914503,0.625,-1.6613406845811758,0.03790318790278041,0.625
BHARTIARTL,B1_alwaysUP_BASE_bin_0.4%,0.5508021390374331,561,561,-0.4621020379802879,0.5508021390374331,-1.1029478428189756,0.5928296717322354,0.5508021390374331
BHARTIARTL,B2_momentum5_BASE_bin_0.4%,0.48128342245989303,561,326,-0.4779099528734937,0.5276073619631901,-1.9644071266113439,0.5450997955252214,0.5276073619631901
BHARTIARTL,B3_AR1_BASE_bin_0.4%,0.5098039215686274,561,308,-0.27913746515393456,0.5551948051948052,-1.0606569260653624,0.423656610938335,0.5551948051948052
ITC,LGBM_BASE_bin_0.4%,0.5298507462686567,536,69,-0.2893575688682072,0.463768115942029,-4.954754945316361,0.34398755405242815,0.463768115942029
ITC,B1_alwaysUP_BASE_bin_0.4%,0.4608208955223881,536,536,-0.8316906800870594,0.4608208955223881,-3.3838699219790014,0.8467312685167769,0.4608208955223881
ITC,B2_momentum5_BASE_bin_0.4%,0.48880597014925375,536,255,-0.5797783993455257,0.4470588235294118,-3.502822199429802,0.6086842196308608,0.4470588235294118
ITC,B3_AR1_BASE_bin_0.4%,0.4533582089552239,536,246,-0.6243145303941622,0.4065040650406504,-4.122652703645458,0.6588315990865327,0.4065040650406504
ASIANPAINT,LGBM_BASE_bin_0.4%,0.47106109324758844,622,52,-0.2267590659910662,0.38461538461538464,-5.705251204983059,0.26307555182483694,0.38461538461538464
ASIANPAINT,B1_alwaysUP_BASE_bin_0.4%,0.4678456591639871,622,622,-0.8550102214774126,0.4678456591639871,-0.6325405678979927,0.8749013907718755,0.4678456591639871
ASIANPAINT,B2_momentum5_BASE_bin_0.4%,0.5160771704180064,622,282,0.3605909844076891,0.48226950354609927,0.5708167050452714,0.5827597292194239,0.48226950354609927
ASIANPAINT,B3_AR1_BASE_bin_0.4%,0.4807073954983923,622,292,0.04615708664773077,0.4452054794520548,0.3579704642582704,0.6593871918748772,0.4452054794520548
TITAN,LGBM_BASE_bin_0.4%,0.5130568356374808,651,96,-0.27850957816379096,0.4270833333333333,-3.016281115892121,0.30417669933934816,0.4270833333333333
TITAN,B1_alwaysUP_BASE_bin_0.4%,0.5099846390168971,651,651,-0.6852535582816288,0.5099846390168971,-1.502383719709763,0.732045477454877,0.5099846390168971
TITAN,B2_momentum5_BASE_bin_0.4%,0.4976958525345622,651,321,-0.48833701737379787,0.5077881619937694,-1.754378996281818,0.538255398160443,0.5077881619937694
TITAN,B3_AR1_BASE_bin_0.4%,0.533026113671275,651,324,-0.14435308781124923,0.5432098765432098,-0.469985965991867,0.46033648582542797,0.5432098765432098
SUNPHARMA,LGBM_BASE_bin_0.4%,0.5117117117117117,555,26,-0.03653991151846436,0.5384615384615384,-1.5023629363467053,0.07303907447969192,0.5384615384615384
SUNPHARMA,B1_alwaysUP_BASE_bin_0.4%,0.5261261261261261,555,555,-0.43131300633612546,0.5261261261261261,-0.5777296379835657,0.6595964982747273,0.5261261261261261
SUNPHARMA,B2_momentum5_BASE_bin_0.4%,0.5081081081081081,555,305,-0.44762685670296964,0.5311475409836065,-2.1303087638225144,0.48619421783322936,0.5311475409836065
SUNPHARMA,B3_AR1_BASE_bin_0.4%,0.4972972972972973,555,287,0.1597133387162235,0.5226480836236934,0.3501861594504717,0.3807999433645499,0.5226480836236934
NTPC,LGBM_BASE_bin_0.4%,0.5059422750424448,589,21,-0.12577060090636516,0.3333333333333333,-8.000683762132187,0.15977636841180634,0.3333333333333333
